index,group,calories,lipids,carbohydrates,protein,name
31,3,516.57,61.11,27.77,5.55,"CHOCOLATE, TIPO NUTELA"
32,3,136.45,17.39,5.05,5.36,CHONGOS ZAMORANOS
33,3,284.84,42.98,13.16,1.74,COCADA
34,3,228,57.9,13.7,19.6,"COCOA, EN POLVO"
35,3,257,12.49,22.22,3.2,CREMA CHANTILLY
36,3,220.6,44.81,4.39,0.93,"CREMA DE COCO, INDUSTRIALIZADA (PARA HACER POSTRES Y BEBIDAS)"
37,3,292.62,24.66,19.11,7.38,"CREPA DE NUTELLA CON NUEZ, PREPARACION ESTANDARIZADA"
38,3,248.03,29.91,11.53,5.99,"CREPA DE NUTELLA, PREPARACION ESTANDARIZADA"
39,3,203.93,25.8,9.44,4.98,"CREPA DULCE (TODOS SABORES), PREPARACION ESTANDARIZADA"
40,3,122,30.74,0.29,1.02,"DULCE DE CHABACANO, PREPARACION ESTANDARIZADA"
41,3,535.36,67.94,27.56,0.65,"DULCE DE CHOCOLATE, DUVALIN (TODOS SABORES)"
42,3,377,78,5,5,"DULCE DE LECHE, INDUSTRIALIZADO"
43,3,123.48,22.97,2.52,2.5,"DULCE DE LECHE, PREPARACION ESTANDARIZADA"
44,3,373.74,90.59,0.8,1.19,"DULCE DE TAMARINDO EN PASTA (TIPO PELÓN, BOMBAZO)"
45,3,182.38,47.37,0.24,1.08,"DULCE DE TAMARINDO, TARUGO O BANDERILLA"
46,3,358.46,88.13,0.02,0.02,"DULCE, MACIZO (PALETAS, REDONDOS, SALVAVIDAS, HALLS)"
47,3,397,91.56,3.33,0.03,"DULCE, TIPO CHICLOSOS"
48,3,313.16,42,13.9,5.32,"EMPANADA DE ARROZ CON LECHE, PREPARACION ESTANDARIZADA"
49,3,365.65,52.75,15.11,5.17,"EMPANADA DULCE, PREPARACION ESTANDARIZADA"
50,3,0,100,0,0,ERITRITOL (LIVANA)
51,3,400,98,0,0,ESTEVIA (CANDEREL-STEVIA) C/AZÚCAR-SUCRALOSA
52,3,0,100,0,0,ESTEVIA (NATURAL FIT)
53,3,0,100,0,0,ESTEVIA (NUTRA LIGHT)
54,3,0,100,0,0,ESTEVIA (SPLENDA NATURALS)
55,3,0,95,0,0,ESTEVIA-SACAROSA (STEVIEN)
56,3,103.09,17.53,2.15,3.48,FLAN O GELATINA (PROMEDIO)
57,3,99.47,15.75,2.79,2.91,"FLAN PREPARADO, INDUSTRIALIZADO"
58,3,253.06,45.94,4.82,6.68,"FLAN, PREPARACION ESTANDARIZADA"
59,3,177.52,13.35,13.4,1.64,"FRESAS CON CREMA, PREPARACION ESTANDARIZADA"
60,3,143.25,22.43,6.21,1.43,"FRUTA CON CREMA Y AZUCAR (EXCEPTO FRESAS), PREPARACION ESTANDARIZADA"
61,3,220.51,25.94,11.64,3.4,"FRUTA CUBIERTA DE CHOCOLATE, PREPARACION ESTANDARIZADA"
62,3,7.17,1.41,0.05,0.27,"GELATINA CON AGUA, PREPARACION ESTANDARIZADA"
63,3,116.47,17.7,3.13,4.33,"GELATINA DE LECHE PREPARADA, INDUSTRIALIZADA"
64,3,60.24,5.68,2.83,3,"GELATINA DE LECHE, PREPARACION ESTANDARIZADA"
65,3,19.09,0.9,0.9,1.81,"GELATINA LIGHT PREPARADA, INDUSTRIALIZADA"
66,3,198,80.21,0,15.67,"GELATINA LIGHT, EN POLVO"
67,3,58.36,11.45,0.41,2.23,GELATINA EN POLVO
68,3,324.29,75.29,0.17,0,"GOMA DE MASCAR, CON AZUCAR TIPO BOMBIUX O BUBBALOO"
69,3,296.16,72.8,0,0,GOMA DE MASCAR (PROMEDIO)
70,3,0,0,0,0,GOMA DE MASCAR SIN AZ�CAR (TIPO TRIDENT)
71,3,340,81.27,0,3.64,GOMITAS CUBIERTAS DE AZUCAR
72,3,313.33,74.58,0,4.08,GOMITAS ENCHILADAS
73,3,318.52,55.17,6.82,9.07,"GORDITAS DE NATA, PREPARACION ESTANDARIZADA"
74,3,34.61,0,0,8.66,"GRENETINA, EN POLVO"
75,3,147.05,24.3,4.69,1.91,"HELADO CON GALLETA, SANDWICH (TIPO MORDIZCO)"
76,3,216,28.2,11,3.8,"HELADO, DE CHOCOLATE"
77,3,192,27.6,8.4,3.2,"HELADO, DE FRESA"
78,3,209.75,23.04,11.49,3.36,HELADO DE LECHE
79,3,207,23.6,11,3.5,"HELADO, DE VAINILLA"
80,3,276.66,54.16,0,0,"JALEA O ATE, DE FRUTAS (EXCEPTO MEMBRILLO)"
81,3,240.67,59.05,0.05,0.69,ATE DE MEMBRILLO
82,3,148,19.8,2.7,11.1,JALEA REAL
83,3,312.52,78.13,0,0,"JARABE, SABOR A MAPLE"
84,3,345.85,66.53,5.82,7.25,LECHE CONDENSADA
85,3,282,62,0.3,7.7,LECHE CONDENSADA REDUCIDA EN AZUCAR (LECHERA LIGHT)
86,3,394.4,69.3,10.11,6.25,"MALVAVISCO CUBIERTO DE CHOCOLATE (MALVABON, DE LA ROSA, ETC)"
87,3,510,65,22.5,12.5,"MAZAPAN, PROMEDIO"
88,3,285,71,0.1,0,MELAZA
89,3,197.33,49.33,0,0,"MERMELADA, DE MANZANA"
90,3,243.56,60.44,0.03,0.23,MERMELADA DE NARANJA
91,3,224.81,57.87,0.3,0.65,MERMELADA PROMEDIO (EXCEPTO NARANJA O MANZANA)
92,3,130.53,32.46,0,0,MERMELADA REDUCIDA EN CALORÍAS (TODOS LOS SABORES)
93,3,320.16,78.61,0,0.15,"MIEL, DE ABEJA"
94,3,294,72.6,0.2,0.5,"MIEL, DE CAÑA"
95,3,283,76.79,0.2,0,"MIEL, DE MAIZ"
96,3,260,67.04,0.06,0.04,"MIEL, DE MAPLE"
